0	1160	1
1	1161	1
2	1162	0
3	1163	1
4	1164	1
5	1165	1
6	1166	1
7	1167	0
8	1168	1
9	1169	1
10	1170	1
11	1171	1
12	1172	1
13	1173	1
14	1174	1
15	1175	0
16	1176	1
17	1177	1
18	1178	0
19	1179	1
20	1180	1
21	1181	0
22	1182	1
23	1183	0
24	1184	1
25	1185	0
26	1186	1
27	1187	0
28	1188	1
29	1189	1
30	1190	1
31	1191	1
0	1192	1
1	1193	1
2	1194	1
3	1195	1
4	1196	1
5	1197	1
6	1198	1
7	1199	0
8	1200	1
9	1201	1
10	1202	1
11	1203	1
12	1204	0
13	1205	1
14	1206	1
15	1207	0
16	1208	0
17	1209	0
18	1210	0
19	1211	0
20	1212	0
21	1213	0
22	1214	0
23	1215	0
24	1216	0
25	1217	0
26	1218	0
27	1219	0
28	1220	0
29	1221	0
30	1222	0
31	1223	0
0	1224	0
1	1225	0
